04e7ef2,Haowen Shen,4 weeks ago,Merge pull request #4 from qingyiz1/profile,
b5938d2,Haowen Shen,4 weeks ago,create a following activity,
5.80E+112,Haowen Shen,4 weeks ago,Merge pull request #3 from qingyiz1/profile,
fafd5c5,Haowen Shen,4 weeks ago,create an edit profile activity,
2bd020d,Joyce888888,4 weeks ago,delete,
78edfec,BIEY123,4 weeks ago,Merge pull request #2 from qingyiz1/byt,
199313c,biey,4 weeks ago,1,
de71a1f,zihanunimelb,4 weeks ago,Add files via upload,
52223c2,zihanunimelb,4 weeks ago,Add files via upload,
0ff738e,zihanunimelb,4 weeks ago,Rename app/src/main/activity_login.xml to app/src/main/ui/activity_login.xml,
6862402,zihanunimelb,4 weeks ago,Add files via upload,
c7856c4,zihanunimelb,4 weeks ago,Delete activity_login.xml,
a1b7227,zihanunimelb,4 weeks ago,login,
4a3014c,zihanunimelb,4 weeks ago,login,
f1a49bb,Joyce888888,5 weeks ago,Add files via upload,
9b6aec1,Joyce888888,5 weeks ago,Add files via upload,
75ddd20,Joyce888888,5 weeks ago,Add files via upload,
0a720fe,Joyce888888,5 weeks ago,Add files via upload,
eb1a5ce,Joyce888888,5 weeks ago,Add files via upload,
d418f82,Qingyi Zhou,5 weeks ago,Link Firebase,
df3c765,Qingyi Zhou,5 weeks ago,Init,
f4507d2,qingyiz1,5 weeks ago,Initial commit,
